"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
57, -6.096000000000000e-02, 1.200647011445721e-04, 1.138319828596408e+00, 7.871086794539987e+01, 2.169449296369252e-06, 2.458505937127654e+05, 9.725172078231668e+04, 2.976208405182194e+02, 1.999354874339992e-01, 1.884920956754775e-01, 1.834636905201406e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
58, -6.096000000000000e-02, 1.011194579345032e-04, 1.138319828680883e+00, 7.871086946814668e+01, 1.870360272642286e-06, 2.458505938430720e+05, 9.725172079240299e+04, 2.976208405270002e+02, 1.999354912841806e-01, 1.884920993990782e-01, 1.834636905243115e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
59, -6.096000000000000e-02, 8.301424713486272e-05, 1.138319828748335e+00, 7.871087095482974e+01, 1.567763336291918e-06, 2.458505939658372e+05, 9.725172080045402e+04, 2.976208405340030e+02, 1.999354950463427e-01, 1.884921023713036e-01, 1.834636905276379e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
60, -6.096000000000000e-02, 6.559866283782578e-05, 1.138319828800868e+00, 7.871087232970314e+01, 1.260986974563214e-06, 2.458505940764519e+05, 9.725172080672304e+04, 2.976208405394532e+02, 1.999354985276362e-01, 1.884921046856622e-01, 1.834636905302268e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
61, -6.096000000000000e-02, 4.872802808848275e-05, 1.138319828840148e+00, 7.871087351297942e+01, 9.500644266688081e-07, 2.458505941698941e+05, 9.725172081140972e+04, 2.976208405435260e+02, 1.999355015250393e-01, 1.884921064158601e-01, 1.834636905321614e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
62, -6.096000000000000e-02, 3.226219300605626e-05, 1.138319828867383e+00, 7.871087442713252e+01, 6.356240482083080e-07, 2.458505942411637e+05, 9.725172081465938e+04, 2.976208405463501e+02, 1.999355038413708e-01, 1.884921076155495e-01, 1.834636905335028e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
63, -6.096000000000000e-02, 1.606437051299814e-05, 1.138319828884093e+00, 7.871087500674284e+01, 3.186310625803436e-07, 2.458505942861344e+05, 9.725172081663241e+04, 2.976208405480192e+02, 1.999355053101581e-01, 1.884921083439425e-01, 1.834636905342957e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
64, -6.096000000000000e-02, 0.000000000000000e+00, 1.138319828890564e+00, 7.871087522214002e+01, 1.022993115981216e-09, 2.458505943028493e+05, 9.725172081736696e+04, 2.976208405485755e+02, 1.999355058559706e-01, 1.884921086151196e-01, 1.834636905345599e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
65, -5.275975736129639e-02, 3.000000000000000e-02, 1.138305288229165e+00, 7.873051256895518e+01, 1.041994259271034e-02, 2.458476393952015e+05, 9.724998171405350e+04, 2.976193200731480e+02, 1.999884543863590e-01, 1.878500774063189e-01, 1.834629682949280e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
66, -5.275975736129639e-02, 2.738738867686236e-02, 1.138307350827493e+00, 7.872721179852451e+01, 1.031943006110903e-02, 2.458480227371167e+05, 9.725022834117680e+04, 2.976195355555629e+02, 1.999796350969886e-01, 1.879411256544988e-01, 1.834630706511403e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
